canonical_smiles,molecule_chembl_id,pref_name,max_phase,molecule_type,first_approval
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,CHEMBL2,PRAZOSIN,4,Small molecule,1976
CN1CCC[C@H]1c1cccnc1,CHEMBL3,NICOTINE,4,Small molecule,1984
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL4,OFLOXACIN,4,Small molecule,1990
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CHEMBL5,NALIDIXIC ACID,4,Small molecule,1964
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,CHEMBL6246,ELLAGIC ACID,2,Small molecule,
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,CHEMBL204021,DARAPLADIB,3,Small molecule,
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,INDOMETHACIN,4,Small molecule,1965
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL403,SULBACTAM,4,Small molecule,1986
CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,CHEMBL6259,DIFLOXACIN,2,Small molecule,
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL404,TAZOBACTAM,4,Small molecule,1993
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,CHEMBL6273,FLEROXACIN,2,Small molecule,
CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC)c3c2F)C1,CHEMBL6209,MERAFLOXACIN,2,Small molecule,
CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,CHEMBL6231,AMIFLOXACIN,2,Small molecule,
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CHEMBL8,CIPROFLOXACIN,4,Small molecule,1987
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CHEMBL9,NORFLOXACIN,4,Small molecule,1986
CC/C(=C(\\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,CHEMBL6318,IDOXIFENE,2,Small molecule,
CC(N)Cc1ccccc1,CHEMBL405,AMPHETAMINE,4,Small molecule,1955
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],CHEMBL6622,ISOSORBIDE DINITRATE,4,Small molecule,1986
CN1CCN2c3ccccc3Cc3ccccc3C2C1,CHEMBL6437,MIANSERIN,4,Small molecule,
CC(N)Cc1ccc2c(c1)OCO2,CHEMBL6731,TENAMFETAMINE,2,Small molecule,
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL263881,LYSERGIDE,2,Small molecule,
CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL11,IMIPRAMINE,4,Small molecule,1959
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL406,INDAPAMIDE,4,Small molecule,1983
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CHEMBL407,FLUMAZENIL,4,Small molecule,1991
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,CHEMBL408,TROGLITAZONE,4,Small molecule,1997
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL409,BICALUTAMIDE,4,Small molecule,1995
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CHEMBL12,DIAZEPAM,4,Small molecule,1963
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CC/C=C\\CCC(=O)OC,CHEMBL266979,ENISOPROST,2,Small molecule,
COCCc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL13,METOPROLOL,4,Small molecule,1978
CC1c2ccccc2CN1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL6378,ZIDAPAMIDE,2,Small molecule,
C=CCc1ccccc1OCC(O)CNC(C)C,CHEMBL266195,ALPRENOLOL,2,Small molecule,
CN(C)C1(C)C2CCC(C2)C1(C)C,CHEMBL538393,DIMECAMINE,2,Small molecule,
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,CHEMBL7301,FENRETINIDE,3,Small molecule,
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL411,DIETHYLSTILBESTROL,4,Small molecule,1973
CNC1(C)C2CCC(C2)C1(C)C,CHEMBL267936,MECAMYLAMINE,4,Small molecule,1956
C[N+](C)(C)CCOC(N)=O.[Cl-],CHEMBL14,CARBACHOL,4,Small molecule,1972
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CHEMBL16,PHENYTOIN,4,Small molecule,1953
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL413,SIROLIMUS,4,Small molecule,1999
C=CC[C@@H]1/C=C(\\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CHEMBL269732,TACROLIMUS ANHYDROUS,4,Small molecule,1994
NS(=O)(=O)c1ccc(C(=O)O)cc1,CHEMBL414,CARZENIDE,2,Small molecule,
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CHEMBL415,CLOMIPRAMINE,4,Small molecule,1989
CCNC1C2CCC(C2)C1c1ccccc1,CHEMBL7010,FENCAMFAMIN,2,Small molecule,
COc1c2occc2cc2ccc(=O)oc12,CHEMBL416,METHOXSALEN,4,Small molecule,1954
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,CHEMBL17,DICHLORPHENAMIDE,4,Small molecule,1958
COc1cc(CC(C)N)c(OC)cc1Br,CHEMBL6607,BROLAMFETAMINE,2,Small molecule,
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CHEMBL18,ETHOXZOLAMIDE,4,Small molecule,1982
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,CHEMBL417,EPIRUBICIN,4,Small molecule,1999
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,CHEMBL19,METHAZOLAMIDE,4,Small molecule,1959
CC(=O)Nc1nnc(S(N)(=O)=O)s1,CHEMBL20,ACETAZOLAMIDE,4,Small molecule,1953
NCc1ccc(S(N)(=O)=O)cc1,CHEMBL419,MAFENIDE,4,Small molecule,1969
Nc1ccc(S(N)(=O)=O)cc1,CHEMBL21,SULFANILAMIDE,4,Small molecule,1985
N=C(N)N/N=C/c1c(Cl)cccc1Cl,CHEMBL420,GUANABENZ,4,Small molecule,1982
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,TRIMETHOPRIM,4,Small molecule,1973
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,VERAPAMIL,4,Small molecule,1981
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,CHEMBL421,SULFASALAZINE,4,Small molecule,1950
O=c1ccc2ccccc2o1,CHEMBL6466,COUMARIN,4,Small molecule,
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,CHEMBL23,DILTIAZEM,4,Small molecule,1982
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CHEMBL24,ATENOLOL,4,Small molecule,1981
CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,ASPIRIN,4,Small molecule,1950
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CHEMBL422,TRIFLUOPERAZINE,4,Small molecule,1959
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,CHEMBL26,SULPIRIDE,4,Small molecule,
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,CHEMBL423,BETAXOLOL,4,Small molecule,1985
O=C(O)c1ccccc1O,CHEMBL424,SALICYLIC ACID,4,Small molecule,
O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,CHEMBL425,OLSALAZINE,4,Small molecule,1990
CC(C)NCC(O)COc1cccc2ccccc12,CHEMBL27,PROPRANOLOL,4,Small molecule,1967
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL6995,PRACTOLOL,4,Small molecule,
CN(CCCl)CCCl,CHEMBL427,MECHLORETHAMINE,4,Small molecule,1949
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,CHEMBL7002,CIGLITAZONE,2,Small molecule,
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,CHEMBL29,PENICILLIN G,4,Small molecule,1947
N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,CHEMBL428,TROVAFLOXACIN,4,Small molecule,1997
CN/C(=N\\CCSCc1nc[nH]c1C)NC#N,CHEMBL30,CIMETIDINE,4,Small molecule,1977
